time,d1,d2,d3,x,y,z
2025-04-25 20:30:48,206,166,75,132,194.4,21.94
2025-04-25 20:30:48,206,166,261,132,40.95,191.3
2025-04-25 20:30:49,101,125,182,31.4,60.22,112.02
2025-04-25 20:30:49,147,125,182,90.43,79.9,129.49
2025-04-25 20:30:52,199,210,125,38.5,176.12,141.21
2025-04-25 20:30:52,199,210,136,38.5,168.76,149.93
2025-04-25 20:30:53,377,291,260,320.87,239.75,72.21
2025-04-25 20:30:53,398,403,349,42.06,198.7,376.74
2025-04-25 20:30:54,360,323,370,174.55,77.78,339.98
2025-04-25 20:30:55,42,34,201,64.53,12.21,29.5
2025-04-25 20:30:56,396,346,201,227.08,352.39,75.69
2025-04-25 20:30:56,396,346,311,227.08,221.31,284.48
2025-04-25 20:30:58,352,344,117,85.2,368.12,56.13
2025-04-25 20:30:58,352,344,230,85.2,272.31,253.99
2025-04-25 20:30:59,399,383,416,116.13,72.99,406.48
2025-04-25 20:31:00,213,231,66,22.2,223.45,92.87
2025-04-25 20:31:00,213,231,272,22.2,52.64,236.19
2025-04-25 20:31:00,446,434,272,107,387.52,254.86
2025-04-25 20:31:00,446,434,407,107,179.68,427.6
2025-04-25 20:31:01,113,65,201,107.6,36.83,86.69
2025-04-25 20:31:01,293,310,97,13.04,304.91,105.78
2025-04-25 20:31:01,106,30,202,122.07,29.39,52.27
2025-04-25 20:31:04,367,315,238,220.77,265.26,196.24
2025-04-25 20:31:05,129,100,116,94.92,115.77,53.55
2025-04-25 20:31:05,189,219,166,1.5,142.97,165.89
2025-04-25 20:31:06,240,215,191,113.65,154.52,190.03
2025-04-25 20:31:10,366,350,277,111.73,235.06,298.46
2025-04-25 20:31:10,366,350,414,111.73,20.71,379.35
2025-04-25 20:31:10,379,350,414,155.34,35.25,376.71
2025-04-25 20:31:10,379,342,414,180.4,31.07,365.75
2025-04-25 20:31:10,379,342,212,180.4,319.76,180.25
2025-04-25 20:31:11,400,342,212,253.82,344.23,44.52
2025-04-25 20:31:11,400,379,212,133.41,364.3,185.44
2025-04-25 20:31:11,400,379,313,133.41,241.2,330.03
2025-04-25 20:31:11,365,379,313,13.1,201.1,339.72
2025-04-25 20:31:12,122,54,167,126.87,69.47,46.72
2025-04-25 20:31:14,311,301,226,88,214.39,250.15
2025-04-25 20:31:14,96,122,166,29.88,71.39,99.43
2025-04-25 20:31:16,263,258,44,72.1,278.76,54.25
2025-04-25 20:31:16,324,230,267,300.48,150.56,111.17
2025-04-25 20:31:17,129,100,130,94.92,106.85,69.67
2025-04-25 20:31:19,168,115,113,135.75,139.78,35.19
2025-04-25 20:31:19,168,115,157,135.75,109.53,93.7
2025-04-25 20:31:19,295,235,157,207.5,235.95,83.04
2025-04-25 20:31:19,295,235,291,207.5,94.13,231.75
2025-04-25 20:31:20,263,168,318,254.35,7.49,145.25
2025-04-25 20:31:20,170,198,30,10.07,197.49,29.95
2025-04-25 20:31:21,374,286,390,324,41.87,237.67
2025-04-25 20:31:22,134,154,72,31,152.53,51.68
2025-04-25 20:31:24,203,138,211,168.6,87.33,135.04
2025-04-25 20:31:25,331,287,283,184.3,160.02,265.99
2025-04-25 20:31:25,331,287,232,184.3,221.11,217.86
2025-04-25 20:31:26,263,263,314,60,45.65,283.13
2025-04-25 20:31:26,263,263,84,60,265.11,109.39
2025-04-25 20:31:26,109,76,173,93.69,62.12,81.76
2025-04-25 20:31:27,308,271,124,158.51,285.51,87.17
2025-04-25 20:31:27,308,326,124,7.95,310.61,133.05
2025-04-25 20:31:28,308,326,286,7.95,151.98,301.8
2025-04-25 20:31:28,441,353,368,373.13,193.3,212.71
2025-04-25 20:31:29,424,333,346,369.78,196.58,175.32
2025-04-25 20:31:30,88,44,201,95.2,25.31,64.97
2025-04-25 20:31:30,88,44,160,95.2,61.27,33.28
2025-04-25 20:31:32,324,274,339,197.08,67.89,286.12
2025-04-25 20:31:34,301,292,368,84.49,7.5,319.95
2025-04-25 20:31:34,301,292,241,84.49,184.5,261.5
2025-04-25 20:31:34,215,185,271,117.5,40.05,211.22
2025-04-25 20:31:34,215,185,263,117.5,49.95,209.1
2025-04-25 20:31:35,415,367,263,228.4,318.97,210.04
2025-04-25 20:31:35,324,262,287,226.88,137.24,234.53
2025-04-25 20:31:37,374,299,381,289.06,63.27,275.06
2025-04-25 20:31:37,211,232,107,15.99,202.57,129.58
2025-04-25 20:31:37,211,210,107,62,194.9,127.48
2025-04-25 20:31:38,406,393,271,106.53,312.86,284.37
2025-04-25 20:31:38,406,364,271,205.25,296.41,245.18
